Model,CV MSE Mean,CV MSE Std,CV Folds
Ridge,3041.9436673196806,1097.3178755187707,"[4949.95075221132, 1952.2315201497827, 2199.804060145806, 2562.3959633469394, 3545.3360407445543]"
OMP,2761.2396369966664,382.1042931783131,"[2131.73709376077, 2529.7327343908846, 3195.593719400037, 2959.25902102967, 2989.875616401971]"
