Feature_Group,Num_Features_Removed,Baseline_MSE,Ablated_MSE,MSE_Increase,MSE_Increase_Pct
Group 4 - Economic,2,0.0030793540629114216,0.020472725885168526,0.017393371822257104,564.8383221581308
Group 5 - Interactions,3,0.0030793540629114216,0.013529139224855512,0.01044978516194409,339.34990743039737
Group 1 - Temporal,3,0.0030793540629114216,0.0030971047619430736,1.7750699031651978e-05,0.5764422885125886
Group 2 - Seasonal,2,0.0030793540629114216,0.0030793540629114333,1.1709383462843448e-17,3.802545346725292e-13
Group 3 - Autoregressive,8,0.0030793540629114216,0.003058465869961006,-2.0888192950415784e-05,-0.6783303421324253
