Sector,Model,MSE_Mean,MSE_Std,R2_Mean,R2_Std
Commercial,OMP,0.014058887701072956,0.010240089867136353,0.9714741477537435,0.021156450712064023
Industrial,ElasticNet,0.04455870152190987,0.031873621455711064,0.8328633184410996,0.16736618141596082
Residential,OMP,0.004229015078466345,0.003328786080070266,0.9956243589860378,0.002985137306814388
Transportation,OMP,0.05899181928480601,0.03114733768717978,0.8813274890891216,0.07128234451440241
