Model,MSE,RMSE,MAE,MAPE,R²,Time (sec),Base Paper MSE,Improvement (%)
OMP,0.0030793540629114216,0.055491927907682405,0.042327711453873235,7.05384830637754,0.9883774501478719,0.004467964172363281,965.87,99.99968118338255
Ridge,0.004031654541045003,0.06349531117370008,0.05198890247461913,6.969843251373872,0.9847831379787644,0.0038673877716064453,2.61,99.8455304773546
Extra Trees,0.020907312488510826,0.14459361150656286,0.11169025496690767,16.819087563713918,0.9210885540579918,0.48972630500793457,754.6,99.99722935164478
Random Forest,0.028243787899815936,0.16805888224017182,0.1267249882751633,17.95612048739133,0.8933981522838654,1.1276872158050537,989.42,99.99714541975099
Lasso,0.028384733655316585,0.16847769483025515,0.12639212666760863,15.12614433695038,0.8928661741364083,0.0039844512939453125,22.0,99.87097848338493
ElasticNet,0.031065251559868744,0.17625337318720669,0.14455592382949986,22.41180938575051,0.882748970223285,0.002852916717529297,22.1,99.85943325086032
K Neighbors,0.06868416163698933,0.26207663313807533,0.20994336111617665,32.675440933352405,0.7407621610349076,0.05751323699951172,1261.3,99.9945544944393
