Fold,Commercial,Industrial,Residential,Transportation
1,0.024268717786329556,0.017484603160980227,0.002711912677693847,0.09767421810051936
2,0.019284092888647592,0.018744995743819756,0.0048554198588406546,0.051236566095118154
3,0.02064494358621632,0.08455881168428246,0.009741990015588897,0.07429381123858962
4,0.0020349314674392442,0.02885190935768342,0.002444026574755433,0.013278167422986169
5,0.0040617527767320685,0.0731531876627835,0.0013917262654528947,0.05847633356681674
