Sector,Model,MSE,RMSE,MAE,R2,Best_Params,Overfit_Ratio
Commercial,OMP,4157.848425215864,64.48138045370821,48.537130506273314,0.7914512876011257,{'n_nonzero_coefs': 15},2.642059821952785
Commercial,Lasso,4632.196164635801,68.06023923434152,52.64560767724298,0.7676590277184897,{'alpha': 0.001},3.168052250034903
Commercial,ElasticNet,4647.765987640533,68.17452594364359,52.82759897955608,0.766878078966192,"{'alpha': 0.001, 'l1_ratio': 0.8}",3.180807973917321
Commercial,RandomForest,5032.553449670252,70.94049231341894,53.94042440250695,0.7475779694992717,"{'max_depth': 7, 'min_samples_leaf': 5, 'n_estimators': 20}",5.084695056074088
Commercial,GradientBoosting,5289.404339259031,72.72829118891102,56.51575746746008,0.7346948826658539,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",6.81743574631602
Commercial,Ridge,5959.173267937124,77.19568166638031,62.58223261436747,0.7011007172716841,{'alpha': 1.0},4.144511625199125
Commercial,KNN,7113.897790061962,84.3439256263423,64.4488287171156,0.6431822249081638,"{'n_neighbors': 3, 'weights': 'distance'}",1002569878546470.0
