Month,Forecast
2022-01-01,637.5489552117925
2022-02-01,629.1720226487982
2022-03-01,552.2809623641583
2022-04-01,401.6540857846568
2022-05-01,288.07300409685547
2022-06-01,225.52127299078603
2022-07-01,208.46484900821113
2022-08-01,205.8484271023439
2022-09-01,209.06357678087008
2022-10-01,265.3513648391895
2022-11-01,373.6228939131119
2022-12-01,550.8410241403533
