Model,MSE (Trillion BTU),RMSE (Trillion BTU),MAE (Trillion BTU),R²,Train MSE,Overfit Ratio,Base Paper MSE,Improvement (%),Time (sec)
Ridge,5384.272610113278,73.37760291882856,56.513034083131366,0.7262728769001054,1875.417324914641,2.8709730568146163,2.61,-206193.96973614092,0.014550447463989258
Lasso,4850.927853715946,69.64860266879693,51.647728876539595,0.7533872034508897,2103.974549740661,2.3056019638231264,2.61,-185759.30474007459,0.006089448928833008
ElasticNet,5494.015905016203,74.12162913088326,57.688028168818775,0.7206937172682439,2112.6007134363217,2.6005936048746885,2.61,-210398.69367878174,0.0027277469635009766
OMP,4390.374637051474,66.25990218111912,48.631975040399524,0.7768009338023543,1985.0318303337458,2.2117401695837366,2.61,-168113.58762649327,0.00602412223815918
RandomForest,5481.742918594454,74.03879333561869,57.170350881765565,0.7213176547075852,1301.88766418519,4.210611306487263,2.61,-209928.46431396378,0.12218594551086426
ExtraTrees,4888.241497179953,69.91596024642695,53.288316989994904,0.7514902422423148,1633.981555551284,2.991613632707576,2.61,-187188.9462521055,0.0348355770111084
KNeighbors,6510.137251542259,80.68542155521193,65.6134370967742,0.6690358624295907,1890.6293447877415,3.4433704678762105,2.61,-249330.5460361019,0.0
