model,rmse,mae,r2
Lasso,112.76405479701151,86.45984423859973,0.9054276990182386
LinearRegression,116.78877157097936,89.08768342155108,0.8985563729791392
ElasticNet,119.37326996544317,89.50292119357437,0.8940168632729762
Ridge,134.4401693953368,100.76405410148473,0.8655748004477917
LightGBM,150.4929779980548,117.71676012746764,0.8315561883748646
