Sector,Base_Best_Model,Base_RMSE,Base_R2,Base_MAPE,Exog_Best_Model,Exog_RMSE,Exog_R2,Exog_MAPE,RMSE_Delta,R2_Delta,N_Base_Features,N_Exog_Features
Residential,SVR,123.62532352400775,0.8783271042346318,5.605332152121118,ElasticNet,120.22167705561708,0.8864400003720598,5.554602258580775,3.4,0.0081,41,62
Commercial,OMP,61.027685413487035,0.8131932101301624,3.509112792965728,ExtraTrees,69.15468494819987,0.7635232994165738,3.8756263934791235,-8.13,-0.0497,41,62
Industrial,KNN,68.74359244774736,0.6309239856077083,1.931318486478098,SVR,62.43079863334347,0.6980683559546601,1.9046823577598317,6.31,0.0671,41,62
Transportation,Lasso,94.42402148938764,0.6365910221666236,2.416104719986725,Ridge,105.5354497145283,0.552107796583167,2.758707232798868,-11.11,-0.0845,41,62
